Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
20091218,Avatar,425000000.00,760507625.00,2783918982.00
20151218,Star Wars Ep. VII: The Force Awakens,306000000.00,936662225.00,2058662225.00
20070524,Pirates of the Caribbean: At World’s End,300000000.00,309420425.00,963420425.00
20151106,Spectre,300000000.00,200074175.00,879620923.00
20120720,The Dark Knight Rises,275000000.00,448139099.00,1084439099.00
20130702,The Lone Ranger,275000000.00,89302115.00,260002115.00
20120309,John Carter,275000000.00,73058679.00,282778100.00
20101124,Tangled,260000000.00,200821936.00,586581936.00
20070504,Spider-Man 3,258000000.00,336530303.00,894860230.00
20150501,Avengers: Age of Ultron,250000000.00,459005868.00,1408218722.00
20160506,Captain America: Civil War,250000000.00,408084349.00,1153304495.00
20160325,Batman v Superman: Dawn of Justice,250000000.00,330360194.00,868160194.00
20121214,The Hobbit: An Unexpected Journey,250000000.00,303003568.00,1017003568.00
20090715,Harry Potter and the Half-Blood Prince,250000000.00,301959197.00,935083686.00
20131213,The Hobbit: The Desolation of Smaug,250000000.00,258366855.00,960366855.00
20141217,The Hobbit: The Battle of the Five Armies,250000000.00,255119788.00,955119788.00
20110520,Pirates of the Caribbean: On Stranger Tides,250000000.00,241063875.00,1045663875.00
20170414,The Fate of the Furious,250000000.00,225764765.00,1237444462.00
20060628,Superman Returns,232000000.00,200120000.00,374085065.00
20170526,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.00,172025649.00,785811862.00
20081114,Quantum of Solace,230000000.00,169368427.00,591692078.00
20120504,The Avengers,225000000.00,623279547.00,1519479547.00
20060707,Pirates of the Caribbean: Dead Man’s Chest,225000000.00,423315812.00,1066215812.00
20130614,Man of Steel,225000000.00,291045518.00,667999518.00
20080516,The Chronicles of Narnia: Prince Caspian,225000000.00,141621490.00,417341288.00
20120703,The Amazing Spider-Man,220000000.00,262030663.00,757890267.00
20170621,Transformers: The Last Knight,217000000.00,130168683.00,601039038.00
20150612,Jurassic World,215000000.00,652198010.00,1671640593.00
20120525,Men in Black 3,215000000.00,179020854.00,654213485.00
20090624,Transformers: Revenge of the Fallen,210000000.00,402111870.00,836519699.00
20140627,Transformers: Age of Extinction,210000000.00,245439076.00,1104039076.00
20060526,X-Men: The Last Stand,210000000.00,234362462.00,459260946.00
20100514,Robin Hood,210000000.00,105269730.00,322241588.00
20120518,Battleship,209000000.00,65233400.00,305218228.00
20051214,King Kong,207000000.00,218080025.00,550517357.00
20071207,The Golden Compass,205000000.00,70107728.00,367262558.00
19971219,Titanic,200000000.00,658672302.00,2207615668.00
20161216,Rogue One: A Star Wars Story,200000000.00,532177324.00,1050988488.00
20160617,Finding Dory,200000000.00,486295561.00,1022617376.00
