Count,Film,Year,IMDB_score,Length_in_minute,Year_of_birth_for_lead_actor,Budget,Gross
836,LotR: Return of the King,2003,8.9,201,1981,94000000,#N/A
610,Kingdom of Heaven,2005,7.2,144,1977,130000000,47396698
600,300,2007,7.7,117,1969,110000000,#N/A
572,Troy,2004,7.2,163,1963,175000000,133228348
558,The Last Samurai,2003,7.7,154,1962,140000000,111110575
468,LotR: Two Towers,2002,8.7,179,1981,94000000,#N/A
310,Grindhouse: Double Feature,2007,7.6,191,1951,53000000,#N/A
305,We Were Soldiers,2002,7.2,138,1956,75000000,78120196
247,Rambo,2008,7.1,92,1946,#N/A,#N/A
236,Equilibrium,2002,7.5,107,1974,20000000,1190018
187,Blood Diamond,2006,8.0,143,1974,100000000,57366262
187,The Chronicles of Riddick,2004,6.7,119,1967,105000000,57637485
153,Pearl Harbor,2001,6.1,183,1972,140000000,198539855
152,Hero,2002,7.9,99,1963,31000000,84961
151,Shoot 'Em Up,2007,6.7,86,1964,#N/A,#N/A
141,House of the Dead,2003,2.0,90,1978,#N/A,#N/A
140,Blade: Trinity,2004,5.9,113,1962,65000000,52397389
131,Dawn of the Dead,2004,7.4,101,1979,26000000,58885635
127,Versus,2000,6.5,119,1975,#N/A,#N/A
124,Resident Evil: Extinction,2007,6.3,94,1975,45000000,50648679
123,The Patriot,2000,7.1,165,1956,110000000,113330342
123,Resident Evil: Apocalypse,2004,6.2,94,1975,45000000,50740078
118,LotR: Fellowship of the Ring,2001,8.8,178,1981,#N/A,#N/A
114,Apocalypto,2006,7.8,139,1970,40000000,50859889
115,Aliens vs. Predator: Requiem,2007,4.7,94,1972,40000000,41797066
115,Star Wars III: Revenge of the Sith,2005,7.6,140,1981,#N/A,#N/A
105,The Scorpion King,2002,5.5,92,1972,60000000,90341670
102,BloodRayne,2006,2.9,95,1979,25000000,1550000
99,Once Upon a Time in Mexico,2003,6.4,102,1960,29000000,55845943
98,Blade II,2002,6.7,117,1962,54000000,81645152
97,War,2007,6.3,103,1963,25000000,22466994
95,Kill Bill: Vol. 1,2003,8.1,111,1970,30000000,70098138
